"","Epi_CD11c","CD33Low","LCs","Lang-","Lang+","cDC1","MDDC","MDM","Mac"
"X36951",0,0.524629501438445,0.0263889714793121,0,0,0,0.276237143909605,0.52660468518672,0.0321533028534752
"X36951.1",2.98377026379492,3.66223439932488,2.69213223958335,11.8903935028911,11.165358224906,29.0883116031946,10.6068202729785,17.0843576061791,7.79510344789619
"X37135",0.738894297687846,0,6.65466223865388,1.5744217823887,1.3345015101613,0.56170319578317,0.806329031217928,1.05807974764903,0.983284042151045
"X37316",0.34973367244876,0,17.1887605692932,0.019920447001072,0.0127530895888018,0.349214003910023,0.815656963404187,0.0119191344904976,4.2735321618997
"X37316.1",5.7760620061284,0.86279802829889,11.2086907165442,10.3042684254185,8.05944920344458,1.8766198374737,20.1862657967443,8.4711318707586,21.0017789970339
"X37500",28.1509296844699,15.1817942639798,75.9411254757248,33.814829160671,66.0252538750779,41.5675147100298,50.7813910322082,40.1431827854073,41.6634601992833
"X37681",0.435661364405317,0,1.39169743413522,1.79785827112656,1.28188125304634,1.30032970543018,2.55387103365987,2.67967854315167,2.88193844481497
"X37865",0.122606795103137,0,0.0240598977737866,0.323396511481815,0.00231772803130116,0.263981948504494,0.01402738032409,0.0110453610708023,0.505614330026845
"X38047",0,0,0.00629342045139047,0,0,0,0,0,0
"X38231",1.45437335500306,0.0200693108388722,0.196140219033005,6.0445497363925,2.22054186241038,1.71231790924446,3.24160866004241,2.69635825042431,6.58543710668573
"X38412",12.3819815972478,15.6384318553843,7.11421301342321,8.9110420497738,11.170299426838,3.70518761498357,5.65119447067533,7.8316451263115,6.33649900958643
"X38596",0.741644161434719,3.90350946705746,0.769900826627824,0.10940089468887,0,0.274593775804186,0.277013720642583,0,0.643527823737353
"X38777",7.86521116302557,62.61646818745,16.9397702437556,9.52135134129919,7.36793659604095,14.3041311548687,12.1622383559661,15.9048248394748,8.61127215844706
"X38961",13.8929936732926,14.9651281466784,14.3882248544589,8.79388222452305,15.7138085395027,14.523109595576,6.06789199133064,6.58462613082703,9.07445355341813
"X39142",20.8930671578987,4.12535448110251,29.438630160715,24.3847272415868,21.8404442251995,2.99476931738909,26.1048938766564,23.898659426804,23.4835229233993
"X39326",12.9454259016789,24.487583244443,21.2237300489799,22.2104125286682,26.1594515590987,30.3132765255969,17.3878615381204,22.3588059392797,21.7601860857933
"X39508",13.8765765792736,0.180171325814574,1.25592795363719,0.10229042063486,0.469029273424481,0.34474755287,0.420051497039958,3.21681340975783,1.61653094738382
"X39692",1.02181843067631,0,2.02523179137726,1.17203106792116,0.668544154509356,0.34409333400015,3.26939978039327,1.58037523826777,2.60612565181239
"X39873",0.413005388942967,0,0.0143631344730503,3.04351254786742,0.127404662806198,0.308590830499047,1.22385516304616,4.37317092268774,3.41037922471829
"X40057",2.51065237885553,6.58618056021,2.12398553963099,3.22745702650508,3.24434431018205,6.9382737981428,4.85595056408374,6.27929605362118,7.13515660525431
"X40238",0,0,0.0223784397853213,0.113280312327145,0,0.253238763456812,0,0.00564382858324883,0
"X40422",0,165.715394849973,3.32831745470277,0.0178791962400927,0.610418444686619,0.251100452842909,0.660689257155907,2.49694136067989,9.84931615768179
"X40787",15.8758717649383,0.518425240057381,16.5993756109854,15.5439539870502,9.12163193725689,28.1373951909614,12.7775767320435,16.8680924899713,31.8768600261777
"X41153",0,0.040639037564803,0,0,0,0,0,0,0
"X41883",2.6996970048742,2.35928163239191,1.07064033774596,0.838891766640503,0.588711585171512,1.35664051861197,1.30240996882221,1.319605187778,2.36712896583929
"X42248",38.6086289287783,15.8537302826988,44.9476159047631,42.4178167839937,40.8863457747523,21.4471220139236,42.2602749355486,40.1155597296135,44.2575475602819
"A1BG",7.79774347350064,0.315631392547473,3.79786593554819,1.32686118131582,3.15660514561451,0.325517043730031,1.94488452139034,1.95484321546602,4.33485559183357
"A1BG.AS1",0.346952467488439,0.116307780748844,1.88385088965696,0.955551233825782,4.65210826399485,1.05921226525082,0.822931046995727,1.73177327730897,3.71662342492952
"A1CF",0.167867063806344,0.064995165545975,0.0168336076001816,0.00832296156903805,0.00226494736357188,0.00723412841272977,0.00856746284879877,0.0206701787941716,0.024828938695458
"A2M",30.3828357138989,0,4.89109664120047,9.64224963758548,27.8535931512656,89.6123067108989,29.4959571086008,57.4019989605407,81.8283206614858
"A2M.AS1",2.84479381885293,0,0.163033914446935,0.580301115665066,1.02686985583401,5.08308470184922,1.65410250160793,3.84077654443158,6.779376301797
"A2ML1",1.40676132900625,0.989524902312048,0.814219735957447,0.325307752433857,0.237304978334871,0.701756330249656,0.421522699547014,0.582438736245097,0.859001232712725
"A2MP1",0.016359315652489,0,0,0,0,0,0,0,0
"A4GALT",0.225401966714792,0,0.149250928900916,0.56623574283369,0.67059006825333,1.12969697638664,0.332739679545967,0.924428100833659,1.1346890646089
"A4GNT",0.12740835753046,0,0,0,0,0,0,0,0
"AAAS",3.35837069296283,13.1150160445114,14.7954783618983,11.2824875509618,3.77430300210552,3.76218395550637,8.08148927125521,13.0853273595176,9.60422652964343
"AACS",4.24904560065575,39.122686263126,4.30551874956418,4.71516653913452,2.8086108401524,1.59825892705681,1.67654438655799,1.36788393536537,0.724146141566667
"AACSP1",0,0,0,0,0,0,0.0146325672750012,0,0
"AADAC",0,0,0.122067277123794,0,0,0,0,0,0.0224532560088246
"AADACL2",0.523934349297047,0,0.00991215692891163,0,0,0,0,0,0.136850785114237
"AADACL3",0.207426605093102,0.061184384538167,0,0.0115200639602061,0,0,0.00382037490524497,0,0
"AADACL4",0,0,0.0711256406569843,0,0,0,0,0,0
"AADAT",0,0,0.0177169209054419,0.0194029696234919,0.00448891086261987,0.14423550244738,0.0297311084693841,0.0548989464293022,0.00749998526417893
"AAED1",15.4489367089102,0,54.6824851660467,40.3166854987894,27.6604941412895,8.58337235966972,54.1612574271084,42.0523085838662,26.572467287833
"AAGAB",1.85169105392344,0.836453050335565,8.6690900120005,6.82060006389771,3.91444285178516,3.82947198554629,6.01465970177865,5.86988234325458,8.24037164449412
"AAK1",4.99572641488621,2.92770657788229,2.33301998700885,1.55542486636648,1.79809263009647,2.47157257574559,2.56906042478505,2.27969225368179,3.76702014811603
"AAMDC",4.6779852615808,6.89613524594565,14.9172345403192,9.18266802689474,11.8371460047406,3.49784425455723,12.6792699359336,17.8717785884892,21.246968128364
"AAMP",15.1459194026354,21.3232332669723,37.7252301987351,31.5639508584554,28.36057247079,41.2074860567649,20.1844911255755,21.6055422990706,32.576983729225
"AANAT",0,0,0.156283410728182,0.0256854274486913,0,0,0,0,0
"AAR2",3.79677704814949,0.201593142581858,17.3599592641243,12.0928511212212,14.4175460691733,5.90918146603683,12.6468045798681,4.81920354329412,11.7303343722285
"AARD",5.82082555374669,4.79623444928799,2.90950486788091,1.9541059836082,2.16757050171124,3.03919028608411,2.71028738347252,3.01464444552805,4.23460162407552
